VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;89768446;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;3/6/2021;CAPITAL FEDERAL;CAPITAL FEDERAL;ecommerce
1;89865347;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;6/6/2021;ENTRE RÍOS;Nogoyá;ecommerce
1;89865440;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;7/6/2021;MENDOZA;MENDOZA;ecommerce
1;-;11/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;8/6/2021;SANTA FE;RAFAELA;ecommerce
;;11/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 90CMX190CM;$ 0,00;8/6/2021;SANTA FE;;ecommerce
1;-;11/6/2021;;1;CONJUNTO L. VASARI TRADICIONAL 200CMX200CM;$ 0,00;8/6/2021;SANTA FE;RAFAELA;ecommerce
;;11/6/2021;;2;ALMOHADAS L.VELLÓN 70CM;REGALO;8/6/2021;SANTA FE;;ecommerce
1;89931391;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;9/6/2021;NEUQUÉN;NEUQUÉN;ecommerce
1;89965501;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;10/6/2021;FORMOSA;FORMOSA;ecommerce
1;89965542;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;11/6/2021;SANTA FE;VILLA CAÑAS;ecommerce
1;89984394;15/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;RESTANTES DE 3X2;10/6/2021;MENDOZA;GUAYMALLEN;ecommerce
;;15/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;;10/6/2021;MENDOZA;;ecommerce
1;90066064;18/6/2021;;2;CONJUNTO MARINERA L. MONET BLUE;$ 0,00;10/6/2021;BUENOS AIRES;CABA;ecommerce
